Gender,Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,MonthlyIncome
Female,41,Travel_Rarely,Sales,1,College,Medium,94,Very High,Single,Yes,11,8,Bad,6,5993
Male,49,Travel_Frequently,Research & Development,8,Highschool,High,61,Medium,Married,No,23,10,Better,10,5130
Male,37,Travel_Rarely,Research & Development,2,College,Very High,92,High,Single,Yes,15,7,Better,0,2090
Female,33,Travel_Frequently,Research & Development,3,Master,Very High,56,High,Married,Yes,11,8,Better,8,2909
Male,27,Travel_Rarely,Research & Development,2,Highschool,Low,40,Medium,Married,No,12,6,Better,2,3468
Male,32,Travel_Frequently,Research & Development,2,College,Very High,79,Very High,Single,No,13,8,Good,7,3068
Female,59,Travel_Rarely,Research & Development,3,Bachelor,High,81,Low,Married,Yes,20,12,Good,1,2670
Male,30,Travel_Rarely,Research & Development,24,Highschool,Very High,67,High,Divorced,No,22,1,Better,1,2693
Male,38,Travel_Frequently,Research & Development,23,Bachelor,Very High,44,High,Single,No,21,10,Better,9,9526
Male,36,Travel_Rarely,Research & Development,27,Bachelor,High,94,High,Married,No,13,17,Good,7,5237
Male,35,Travel_Rarely,Research & Development,16,Bachelor,Low,84,Medium,Married,No,13,6,Better,5,2426
Female,29,Travel_Rarely,Research & Development,15,College,Very High,49,High,Single,Yes,12,10,Better,9,4193
Male,31,Travel_Rarely,Research & Development,26,Highschool,Low,31,High,Divorced,No,17,5,Good,5,2911
Male,34,Travel_Rarely,Research & Development,19,College,Medium,93,Very High,Divorced,No,11,3,Better,2,2661
Male,28,Travel_Rarely,Research & Development,24,Bachelor,High,50,High,Single,Yes,14,6,Better,4,2028
Female,29,Travel_Rarely,Research & Development,21,Master,Medium,51,Low,Divorced,No,11,10,Better,10,9980
Male,32,Travel_Rarely,Research & Development,5,College,Low,80,Medium,Divorced,Yes,12,7,Good,6,3298
Male,22,Non-Travel,Research & Development,16,College,Very High,96,Very High,Divorced,Yes,13,1,Good,1,2935
Female,53,Travel_Rarely,Sales,2,Master,Low,78,Very High,Married,No,16,31,Better,25,15427
Male,38,Travel_Rarely,Research & Development,2,Bachelor,Very High,45,Very High,Single,Yes,11,6,Better,3,3944
Female,24,Non-Travel,Research & Development,11,College,Low,96,High,Divorced,No,18,5,Good,4,4011
Male,36,Travel_Rarely,Sales,9,Master,High,82,Low,Single,No,23,10,Better,5,3407
Female,34,Travel_Rarely,Research & Development,7,Master,Low,53,Medium,Single,No,11,13,Better,12,11994
Male,21,Travel_Rarely,Research & Development,15,College,High,96,Very High,Single,No,14,0,Better,0,1232
Male,34,Travel_Rarely,Research & Development,6,Highschool,Medium,83,Low,Single,No,11,8,Better,4,2960
Female,53,Travel_Rarely,Research & Development,5,Bachelor,High,58,High,Divorced,No,11,26,Good,14,19094
Female,32,Travel_Frequently,Research & Development,16,Highschool,Medium,72,Low,Single,Yes,22,10,Better,10,3919
Male,42,Travel_Rarely,Sales,8,Master,High,48,Medium,Married,No,11,10,Better,9,6825
Female,44,Travel_Rarely,Research & Development,7,Master,Low,42,Very High,Married,No,14,24,Better,22,10248
Female,46,Travel_Rarely,Sales,2,Master,Medium,83,Low,Single,No,12,22,Good,2,18947
Male,33,Travel_Rarely,Research & Development,2,Bachelor,High,78,Very High,Single,No,11,7,Better,1,2496
Male,44,Travel_Rarely,Research & Development,10,Master,Very High,41,Very High,Married,Yes,13,9,Best,4,6465
Male,30,Travel_Rarely,Research & Development,9,College,Very High,83,High,Single,No,13,10,Better,10,2206
Male,39,Travel_Rarely,Sales,5,Bachelor,Very High,56,Very High,Married,No,14,19,Best,1,2086
Male,24,Travel_Rarely,Research & Development,1,Bachelor,Medium,61,Very High,Married,Yes,16,6,Good,2,2293
Female,43,Travel_Rarely,Research & Development,2,College,Very High,72,High,Divorced,No,12,6,Good,5,2645
Male,50,Travel_Rarely,Sales,3,College,Low,86,High,Married,Yes,14,3,Better,3,2683
Female,35,Travel_Rarely,Sales,2,Bachelor,Very High,97,Very High,Married,No,13,2,Better,2,2014
Female,36,Travel_Rarely,Research & Development,5,Master,Medium,82,Low,Married,Yes,14,6,Best,1,3419
Female,33,Travel_Frequently,Sales,1,Bachelor,High,42,Low,Married,No,19,10,Better,5,5376
Male,35,Travel_Rarely,Research & Development,4,College,High,75,Very High,Divorced,No,12,1,Better,1,1951
Female,27,Travel_Rarely,Research & Development,2,Master,Very High,33,Low,Divorced,No,13,1,Better,1,2341
Male,26,Travel_Rarely,Research & Development,25,Bachelor,Low,48,High,Single,No,12,1,Good,1,2293
Male,27,Travel_Frequently,Sales,8,Bachelor,Very High,37,High,Single,No,15,9,Better,9,8726
Female,30,Travel_Frequently,Research & Development,1,College,High,58,Very High,Single,No,23,12,Better,12,4011
Female,41,Travel_Rarely,Research & Development,12,Bachelor,Medium,49,High,Married,No,12,23,Better,22,19545
Male,34,Non-Travel,Sales,23,Master,Medium,72,High,Single,No,20,10,Better,9,4568
Male,37,Travel_Rarely,Research & Development,19,College,Medium,73,Medium,Married,No,21,8,Better,1,3022
Male,46,Travel_Frequently,Sales,5,Master,Low,98,Very High,Single,Yes,21,14,Better,9,5772
Male,35,Travel_Rarely,Research & Development,8,Highschool,Very High,36,Very High,Married,No,19,1,Better,1,2269
Male,48,Travel_Rarely,Research & Development,1,College,Low,98,High,Single,Yes,13,23,Better,1,5381
Male,28,Travel_Rarely,Research & Development,5,Master,High,50,High,Single,Yes,13,2,Good,2,3441
Female,44,Travel_Rarely,Sales,1,Doctor,Medium,75,Low,Divorced,Yes,21,9,Good,4,5454
Male,35,Non-Travel,Research & Development,11,College,High,79,Low,Married,Yes,13,10,Better,4,9884
Female,26,Travel_Rarely,Sales,23,Bachelor,High,47,Very High,Married,Yes,19,5,Good,2,4157
Female,33,Travel_Frequently,Research & Development,1,College,Low,98,Very High,Single,Yes,12,15,Better,15,13458
Male,35,Travel_Frequently,Sales,18,Doctor,Medium,71,Low,Married,No,22,9,Good,9,9069
Female,35,Travel_Rarely,Research & Development,23,Master,High,30,Low,Married,Yes,15,4,Better,2,4014
Male,31,Travel_Rarely,Research & Development,7,Master,Very High,48,Very High,Divorced,No,22,10,Good,7,5915
Male,37,Travel_Rarely,Research & Development,1,Master,Low,51,High,Divorced,No,18,7,Best,7,5993
Male,32,Travel_Rarely,Research & Development,1,Bachelor,Low,33,Very High,Married,Yes,22,9,Better,9,6162
Female,38,Travel_Frequently,Research & Development,29,Doctor,Very High,50,Very High,Single,No,11,10,Better,10,2406
Female,50,Travel_Rarely,Research & Development,7,College,Medium,43,High,Divorced,Yes,12,29,Good,27,18740
Female,59,Travel_Rarely,Sales,25,Bachelor,Low,99,Low,Single,No,11,28,Good,21,7637
Female,36,Travel_Rarely,Research & Development,8,Bachelor,High,59,High,Divorced,No,13,17,Better,17,10096
Female,55,Travel_Rarely,Research & Development,8,Bachelor,Very High,33,High,Divorced,Yes,14,21,Better,5,14756
Male,36,Travel_Frequently,Research & Development,11,Bachelor,Medium,95,Medium,Single,No,13,6,Better,6,6499
Male,45,Travel_Rarely,Research & Development,7,Bachelor,Medium,59,Low,Divorced,No,17,25,Better,1,9724
Male,35,Travel_Frequently,Research & Development,1,Bachelor,Medium,79,Low,Married,No,13,5,Good,3,2194
Male,36,Travel_Rarely,Research & Development,9,Bachelor,Very High,79,High,Married,Yes,17,2,Good,1,3388
Female,59,Travel_Frequently,Sales,1,Highschool,Low,57,High,Single,No,11,20,Good,4,5473
Male,29,Travel_Rarely,Research & Development,2,Bachelor,High,76,Medium,Married,No,23,6,Better,5,2703
Male,31,Travel_Rarely,Research & Development,1,Master,High,87,Medium,Single,No,17,1,Better,1,2501
Male,32,Travel_Rarely,Research & Development,1,Bachelor,Medium,66,Medium,Married,No,17,10,Better,10,6220
Female,36,Travel_Rarely,Research & Development,6,Bachelor,Medium,55,Very High,Married,No,12,5,Better,1,3038
Female,31,Travel_Rarely,Research & Development,8,Master,High,61,Very High,Single,No,23,11,Better,11,4424
Male,35,Travel_Rarely,Sales,1,Master,High,32,Low,Single,No,14,16,Better,15,4312
Male,45,Travel_Rarely,Research & Development,6,Master,Very High,52,Low,Married,Yes,14,17,Best,0,13245
Male,37,Travel_Rarely,Research & Development,7,Master,Low,30,High,Single,No,13,16,Best,5,13664
Male,46,Travel_Rarely,Human Resources,5,College,Medium,80,Medium,Divorced,Yes,22,16,Better,4,5021
Male,30,Travel_Rarely,Research & Development,1,Highschool,Very High,55,Very High,Married,Yes,12,10,Good,10,5126
Male,35,Travel_Rarely,Research & Development,1,Bachelor,Medium,30,High,Single,No,18,6,Better,6,2859
Male,55,Travel_Rarely,Sales,1,College,Low,70,Very High,Married,No,14,24,Better,1,10239
Female,38,Non-Travel,Research & Development,6,Bachelor,Medium,79,Very High,Divorced,Yes,12,17,Better,13,5329
Male,34,Travel_Rarely,Research & Development,1,College,Low,94,Medium,Married,No,15,5,Better,5,4325
Male,56,Travel_Rarely,Research & Development,7,Bachelor,Very High,49,Very High,Single,No,11,37,Good,6,7260
Male,23,Travel_Rarely,Sales,2,Highschool,High,62,Low,Divorced,No,13,3,Better,0,2322
